customer_id,store_id,first_name,last_name,email,address_id,active,create_date,last_update
1,1,Mary,Smith,mary.smith@sakilacustomer.org,5,1,2006-02-14 00:00:00,2006-02-15 00:00:00
2,1,Patricia,Johnson,patricia.johnson@sakilacustomer.org,6,1,2006-02-14 00:00:00,2006-02-15 00:00:00
3,1,Linda,Williams,linda.williams@sakilacustomer.org,7,1,2006-02-14 00:00:00,2006-02-15 00:00:00
4,2,Barbara,Jones,barbara.jones@sakilacustomer.org,8,1,2006-02-14 00:00:00,2006-02-15 00:00:00
5,1,Elizabeth,Brown,elizabeth.brown@sakilacustomer.org,9,1,2006-02-14 00:00:00,2006-02-15 00:00:00
6,2,Jennifer,Davis,jennifer.davis@sakilacustomer.org,10,1,2006-02-14 00:00:00,2006-02-15 00:00:00
7,1,Maria,Miller,maria.miller@sakilacustomer.org,11,1,2006-02-14 00:00:00,2006-02-15 00:00:00
8,2,Susan,Wilson,susan.wilson@sakilacustomer.org,12,1,2006-02-14 00:00:00,2006-02-15 00:00:00
9,2,Margaret,Moore,margaret.moore@sakilacustomer.org,13,1,2006-02-14 00:00:00,2006-02-15 00:00:00
10,1,Dorothy,Taylor,dorothy.taylor@sakilacustomer.org,14,1,2006-02-14 00:00:00,2006-02-15 00:00:00
11,2,Lisa,Anderson,lisa.anderson@sakilacustomer.org,15,1,2006-02-14 00:00:00,2006-02-15 00:00:00
12,1,Nancy,Thomas,nancy.thomas@sakilacustomer.org,16,1,2006-02-14 00:00:00,2006-02-15 00:00:00
13,2,Karen,Jackson,karen.jackson@sakilacustomer.org,17,1,2006-02-14 00:00:00,2006-02-15 00:00:00
14,2,Betty,White,betty.white@sakilacustomer.org,18,1,2006-02-14 00:00:00,2006-02-15 00:00:00
15,1,Helen,Harris,helen.harris@sakilacustomer.org,19,1,2006-02-14 00:00:00,2006-02-15 00:00:00
16,2,Sandra,Martin,sandra.martin@sakilacustomer.org,20,0,2006-02-14 00:00:00,2006-02-15 00:00:00
17,1,Donna,Thompson,donna.thompson@sakilacustomer.org,21,1,2006-02-14 00:00:00,2006-02-15 00:00:00
18,2,Carol,Garcia,carol.garcia@sakilacustomer.org,22,1,2006-02-14 00:00:00,2006-02-15 00:00:00
19,1,Ruth,Martinez,ruth.martinez@sakilacustomer.org,23,1,2006-02-14 00:00:00,2006-02-15 00:00:00
20,2,Sharon,Robinson,sharon.robinson@sakilacustomer.org,24,1,2006-02-14 00:00:00,2006-02-15 00:00:00
21,1,Michelle,Clark,michelle.clark@sakilacustomer.org,25,1,2006-02-14 00:00:00,2006-02-15 00:00:00
22,1,Laura,Rodriguez,laura.rodriguez@sakilacustomer.org,26,1,2006-02-14 00:00:00,2006-02-15 00:00:00
23,2,Sarah,Lewis,sarah.lewis@sakilacustomer.org,27,1,2006-02-14 00:00:00,2006-02-15 00:00:00
24,2,Kimberly,Lee,kimberly.lee@sakilacustomer.org,28,1,2006-02-14 00:00:00,2006-02-15 00:00:00
25,1,Deborah,Walker,deborah.walker@sakilacustomer.org,29,1,2006-02-14 00:00:00,2006-02-15 00:00:00
26,2,Jessica,Hall,jessica.hall@sakilacustomer.org,30,1,2006-02-14 00:00:00,2006-02-15 00:00:00
27,2,Shirley,Allen,shirley.allen@sakilacustomer.org,31,1,2006-02-14 00:00:00,2006-02-15 00:00:00
28,1,Cynthia,Young,cynthia.young@sakilacustomer.org,32,1,2006-02-14 00:00:00,2006-02-15 00:00:00
29,2,Angela,Hernandez,angela.hernandez@sakilacustomer.org,33,1,2006-02-14 00:00:00,2006-02-15 00:00:00
30,1,Melissa,King,melissa.king@sakilacustomer.org,34,1,2006-02-14 00:00:00,2006-02-15 00:00:00
31,2,Brenda,Wright,brenda.wright@sakilacustomer.org,35,1,2006-02-14 00:00:00,2006-02-15 00:00:00
32,1,Amy,Lopez,amy.lopez@sakilacustomer.org,36,1,2006-02-14 00:00:00,2006-02-15 00:00:00
33,2,Anna,Hill,anna.hill@sakilacustomer.org,37,1,2006-02-14 00:00:00,2006-02-15 00:00:00
